##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
1002,"Exophiala alcalophila J33 v1.0",Exoalc1_J33,91920,29703595,12081,Y,N,N,,,
1003,"Pilaira anomala RSA1997 v1.0",Pilano1,64641,34898111,12817,Y,N,N,,,
1004,"Rhodotorula glutinis v1.0",Rhoglu1,5535,20088400,8277,Y,N,N,,,
1005,"Rhodotorula sp. J31 v1.0",RhodotJ31_1,1907212,20111900,7934,Y,N,N,,,
1006,"Rhodosporidium toruloides ATCC26217 v1.0",Rhoto_ATCC26217_1,5286,20209575,8226,Y,N,N,,,
1007,"Rhodotorula mucilaginosa ATCC58901 v1.0",Rhomuc1,5537,19873570,7810,Y,N,N,,,
1008,"Circinella umbellata NRRL1351 v1.0",Cirumb1,101103,51270100,14693,Y,N,N,,,
1009,"Exophiala alcalophila ATCC 48519 v1.0",Exoalc1,91920,29813316,12077,Y,N,N,,,
1010,"Fennellomyces sp. T-0311 v1.0",Fenlin1,1329386,45897337,14128,Y,N,N,,,
1011,"Chytridium lagenaria Arg66 v1.0",Chylag1,64509,42380874,14275,Y,N,N,,,
1012,"Irpex lacteus CCBAS Fr. 238 617/93 v1.0",Irplac1,5319,47742868,15319,Y,N,N,,,
1013,"Phyllosticta citribraziliensis CBS 100098 v1.0",Phcit1,989973,31670975,11101,Y,Y,N,,"Guarnaccia V et al.,2019","31512371"
1014,"Colletotrichum higginsianum IMI 349063",Colhig2,759273,50716103,14651,Y,Y,N,,"Zampounis A et al.,2016~O'Connell RJ et al.,2012","27540062 22885923"
1015,"Colletotrichum cereale CBS 129662 v1.0",Colce1,343994,52150039,16412,Y,N,N,,,
1016,"Trichophaea hybrida UTF0779 v1.0",Trihyb1,47213,144183925,13308,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1017,"Syncephalis fuscata S228 v1.0",Synfus1,1851187,29358178,8846,Y,N,N,,,
1018,"Climacocystis borealis CliBor001 v1.0",Clibor1,239101,51880721,13422,Y,N,N,,,
1019,"Gilbertella persicaria var. persicaria CBS 190.32-T v1.0",Gilper1,101096,25732466,10992,Y,N,N,,,
1020,"Coniella lustricola B22-T-1 v1.0",Pilidi1,2025994,36564510,11317,Y,N,N,,,
1021,"Clitocybe gibba IJFM A808 v1.0",Cligib1,378275,65973163,19049,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1022,"Entophlyctis helioformis JEL805 v1.0",Enthel1,281842,30915201,10118,Y,N,N,,,
1023,"Radiomyces spectabilis NRRL 2753 v1.0",Radspe1,64574,30409402,10905,Y,N,N,,,
1024,"Spinellus fusiger NRRL 22323 v1.0",Spifus1,101115,38198483,10164,Y,N,N,,,
1025,"Penicillium subrubescens FBCC1632 / CBS132785",Pensub1,1316194,39803164,14188,Y,Y,N,,"Peng M et al.,2017","28216099"
1026,"Endocarpon pusillum Z07020",EndpusZ1,1263415,37130611,9238,Y,Y,N,,"Wang YY et al.,2014","24438332"
1027,"Aspergillus uvarum CBS 121591 v1.0",Aspuva1,446911,35850703,12017,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1028,"Aspergillus homomorphus CBS 101889 v1.0",Asphom1,319626,34054866,11361,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1029,"Aspergillus fijiensis CBS 313.89 v1.0",Aspfij1,1191702,36513906,12019,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1030,"Aspergillus ibericus CBS 121593 v1.0",Aspibe1,301854,33437983,11680,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1031,"Aspergillus aculeatinus CBS 121060 v1.0",Aspacu1,487661,36471649,12027,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1032,"Aspergillus vadensis CBS 113365 v1.0",Aspvad1,288669,35663374,12132,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1033,"Aspergillus violaceofuscus CBS 115571 v1.0",Aspvio1,657443,36012865,12082,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1034,"Aspergillus eucalypticola CBS 122712 v1.0",Aspeuc1,1340029,34792412,11934,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1035,"Aspergillus heteromorphus CBS 117.55 v1.0",Asphet1,51019,35607567,11133,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1036,"Lactifluus cf. volemus BPL652 v1.0",Lacvol1,71967,62975844,14970,Y,N,N,,,
1037,"Aspergillus costaricaensis CBS 115574 v1.0",Aspcos1,319631,36947918,11966,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1038,"Russula brevipes BPL707 v1.0",Rusbre1,98861,48529157,14000,Y,N,N,,,
1039,"Aspergillus sclerotiicarbonarius CBS 121057 v1.0",Aspscle1,487660,37621264,12571,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1040,"Xylariales sp. PMI_506 v1.0",XylPMI506,1940296,51304718,17035,Y,N,N,,,
1041,"Aspergillus brunneoviolaceus CBS 621.78 v1.0",Aspbru1,1191711,37477200,12075,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1042,"Aspergillus sclerotioniger CBS115572 v1.0",Aspscl1,319627,36720365,12338,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1043,"Aspergillus japonicus CBS 114.51 v1.0",Aspjap1,34381,36099954,12024,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1044,"Aspergillus neoniger CBS 115656 v1.0",Aspneo1,1196635,35416444,11939,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1045,"Aspergillus ellipticus CBS 707.79 v1.0",Aspell1,41066,42866077,12884,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1046,"Hymenoscyphus varicosporoides PMI_453 v1.0",Hymvar1,354079,48242133,14929,Y,N,N,,,
1047,"Aspergillus saccharolyticus JOP 1030-1 v1.0",Aspsac1,979771,31096189,10066,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1048,"Trametes gibbosa CIRM-BRFM 1770 v1.0",Tragib1,160864,33109328,12038,Y,N,N,,,
1049,"Aspergillus piperis CBS 112811 v1.0",Asppip1,319630,35280331,12069,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1050,"Aspergillus indologenus CBS 114.80 v1.0",Aspind1,1232676,38592838,12163,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1051,"Sparassis latifolia CCMJ1100 v1.0",Spalat1,1202976,35658227,12815,Y,N,N,,,
1052,"Russula rugulosa BPL654 v1.0",Rusrug1,1897646,43452339,13281,Y,N,N,,,
1053,"Cryptodiaporthe populea CFL2025 v1.0",Crypo1,940279,56940664,13681,Y,N,N,,,
1054,"Biscogniauxia nummularia v1.0",Bisnum1,97378,41161898,11671,Y,N,N,,,
1055,"Aspergillus niger (lacticoffeatus) CBS 101883 v1.0",Asplac1,1450533,35855892,13083,Y,Y,N,,"Vesth TC et al.,2018","30349117"
1056,"Mariannaea sp. PMI_226 v1.0",MarPMI226,1896173,42252145,12638,Y,N,N,,,
1057,"Talaromyces proteolyticus PMI_201 v1.0",Talpro1,1131652,37611490,13587,Y,N,N,,,
1058,"Ilyonectria robusta PMI_751 v1.0",Ilyrob1,1079257,59648482,20499,Y,N,N,,,
1059,"Lycoperdon perlatum FP-102459-T v1.0",Lycper1,90686,64634788,17855,Y,N,N,,,
1060,"Gymnopus earleae GB-263.02 v1.0",Gymear1,236213,91673264,25530,Y,N,N,,,
1061,"Entoleuca mammata CFL468 v1.0",Entma1,97380,47195832,11498,Y,N,N,,,
1062,"Cystostereum murrayi CysMur001 v1.0",Cysmur1,467946,32382358,13196,Y,N,N,,,
1063,"Gaertneriomyces semiglobifer Barr 43 v1.0",Gaesem1,109897,20918219,8714,Y,N,N,,,
1064,"Umbelopsis sp. nov. AD052 v1.0",Umbsp_AD052_1,1883073,22504321,9369,Y,N,N,,,
1065,"Chytriomyces sp. MP 71 v1.0",Chytri1,1882861,36383760,16054,Y,N,N,,,
1066,"Blastocladiella britannica v1.0",Blabri1,64508,19075314,9431,Y,N,N,,,
1067,"Syncephalis plumigaleata NRRL S24 v1.0",Synplu1,1851185,32907727,8130,Y,N,N,,,
1068,"Russula dissimulans BPL704 v1.0",Rusdis1,258981,44689478,11865,Y,N,N,,,
1069,"Gloeopeniophorella convolvens OM19405 v1.0",Glocon1,205761,37988413,12904,Y,N,N,,,
1070,"Coccodinium bartschii CBS 121709 v1.0",Cocba1,54530,28268635,9532,Y,N,N,,,
1071,"Massariosphaeria phaeospora CBS 611.86 v1.0",Masph1,100035,42105601,14021,Y,Y,N,,"Haridas S et al.,2020","32206138"
1072,"Delphinella strobiligena CBS 735.71 v1.0",Delst1,147560,29209081,10337,Y,Y,N,,"Haridas S et al.,2020","32206138"
1073,"Lodderomyces elongisporus NRRL YB-4239",Lodelo1,379508,15350449,5746,Y,Y,N,,"Butler G et al.,2009","19465905"
1074,"Metarhizium robertsii ARSEF 23",Metro1,655844,41656800,11688,Y,Y,N,,"Hu X et al.,2014~Gao Q et al.,2011","25368161 21253567"
1075,"Microbotryum lychnidis-dioicae p1A1 Lamole",Micld1,683840,26138885,7819,Y,Y,N,,"Perlin MH et al.,2015","26076695"
1076,"Candida albicans SC5314",Canalb1,237561,14282666,6040,Y,Y,N,,"Jones T et al.,2004~van het Hoog M et al.,N/D~Muzzey D et al.,N/D","15123810 17419877 24025428"
1077,"Colletotrichum orchidophilum IMI 309357",Color1,1209926,48556462,14496,Y,Y,N,,"Baroncelli R et al.,2018","29649963"
1078,"Ogataea parapolymorpha DL-1",Ogapa1,871575,8874589,5325,Y,N,N,,,
1079,"Mortierella verticillata NRRL 6337",Morve1,1069443,41854149,12569,Y,N,N,,,
1080,"Paracoccidioides brasiliensis Pb18",Parbra1,502780,29952540,8390,Y,Y,N,,"Desjardins CA et al.,2011","22046142"
1081,"Purpureocillium sp. UdeA0106 v1.0",Pursp1,1323837,36077769,13642,Y,N,N,,,
1082,"Mortierella multidivaricata RSA 2152 T v1.0",Mormul1,101098,37665308,12248,Y,N,N,,,
1083,"Phascolomyces articulosus v1.0",Phaart1,60185,47605836,14495,Y,N,N,,,
1084,"Scytinostroma sp. KUC9335 v1.0",Scysp1_1,1884260,60644971,14908,Y,N,N,,,
1085,"Pholiota alnicola AH 47727 v1.0",Phoaln1,109635,75008219,18795,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1086,"Kockovaella imperatae NRRL Y-17943 v1.0",Kocim1,4999,17465713,7393,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1087,"Auriculariopsis ampla NL-1724 v1.0",Auramp1,97359,49873921,15576,Y,Y,N,,"Almási É et al.,2019","31257601"
1088,"Lophiotrema nucula CBS 627.86 v1.0",Lopnu1,690887,48642237,18117,Y,Y,N,,"Haridas S et al.,2020","32206138"
1089,"Mycena galopus ATCC-62051 v1.0",Mycgal1,1314675,211361780,49694,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1090,"Globomyces pollinis-pini Arg68 v1.0",Glopol1,382532,21646612,11537,Y,N,N,,,
1091,"Absidia padenii NRRL 2977 v1.0",Chlpad1,90267,34328230,13495,Y,N,N,,,
1092,"Mucor cordense RSA 1222 v1.0",Kircor1,101140,40953002,16794,Y,N,N,,,
1093,"Gongronella butleri v1.0",Gonbut1,101105,33012461,11004,Y,N,N,,,
1094,"Panellus stipticus LUM v1.0",Panst_LUM_1_1,5636,57176556,16771,Y,N,N,,,
1095,"Wickerhamiella domercqiae NRRL Y-6692 v1.0",Wicdo1,45788,8431421,4743,Y,N,N,,,
1096,"Meyerozyma guilliermondii ATCC 6260",Meygui1,294746,10609954,5920,Y,Y,N,,"Butler G et al.,2009","19465905"
1097,"Coniosporium apollinis CBS 100218",Conap1,1168221,28645321,9308,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1098,"Capronia semiimmersa CBS27337",Capse1,5601,31616172,11909,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1099,"Cladophialophora immunda CBS83496",Claim1,569365,43029152,14033,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1100,"Fonsecaea pedrosoi CBS 271.37",Fonpe1,1442368,34688880,12527,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1101,"Fonsecaea multimorphosa CBS 102226",Fonmu1,1442371,33447075,12369,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1102,"Capronia coronata CBS 617.96",Capcor1,1182541,25807613,9231,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1103,"Cladophialophora carrionii CBS 160.54",Claca1,1279043,28991111,10373,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1104,"Verruconis gallopava",Verga1,253628,31780469,11357,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1105,"Cladophialophora bantiana CBS 173.52",Claba1,1442370,36722552,12762,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1106,"Cyphellophora europaea CBS 101466",Cypeu1,1220924,28781303,11094,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1107,"Capronia epimyces CBS 606.96",Capep1,1182542,28889638,10469,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1108,"Cladophialophora yegresii CBS 114405",Claye1,1182544,27898422,10118,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1109,"Cladophialophora psammophila CBS 110553",Claps1,1182543,39420127,13421,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1110,"Exophiala spinifera CBS89968",Exosp1,91928,32912349,12049,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1111,"Exophiala sideris CBS121828",Exosi1,1016849,29505589,11120,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1112,"Exophiala oligosperma CBS72588",Exool1,215243,38224514,13234,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1113,"Exophiala xenobiotica CBS118157",Exoxe1,348802,31405760,13187,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1114,"Exophiala mesophila CBS40295",Exome1,212818,29273723,10347,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1115,"Exophiala aquamarina CBS 119918",Exoaq1,1182545,41566958,13118,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
1116,"Colletotrichum phormii CBS102054 v1.0",Colph1,359342,51666170,15209,Y,N,N,,,
1117,"Exophiala dermatitidis UT8656",Exode1,858893,26350763,9562,Y,Y,N,,"Chen Z et al.,2014~Teixeira MM et al.,2017","24496724 28348446"
1118,"Kuraishia capsulata CBS 1993",Kurca1,1382522,11371246,6029,Y,Y,N,,"Morales L et al.,N/D","24317973"
1119,"Gymnopilus junonius AH 44721 v1.0",Gymjun1,109634,59461163,16444,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1120,"Porodaedalea chrysoloma FP-135951 v1.0",Porchr1,74615,44689624,13562,Y,N,N,,,
1121,"Zychaea mexicana RSA 1403 v1.0",Zycmex1,64656,50638590,14004,Y,N,N,,,
1122,"Catenaria anguillulae PL171 v2.0",Catan2,109876,41337528,12804,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1123,"Neocallimastix californiae G1 v1.0",Neosp1,1754190,193032486,20219,Y,Y,N,,"Haitjema CH et al.,2017","28555641"
1124,"Anaeromyces robustus v1.0",Anasp1,1754192,71685009,12832,Y,Y,N,,"Haitjema CH et al.,2017~Mondo SJ et al.,2017","28555641 28481340"
1125,"Piromyces finnis v3.0",Pirfi3,1754191,56455805,10992,Y,Y,N,,"Haitjema CH et al.,2017~Mondo SJ et al.,2017","28555641 28481340"
1126,"Hypoxylon sp. EC38 v3.0",HypEC38_3,1001937,47717833,12534,Y,Y,N,,"Wu W et al.,2017","28078400"
1127,"Cyathus striatus AH 40144 v1.0",Cyastr2,68777,91180015,23513,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1128,"Lichtheimia corymbifera JMRC:FSU:9682",Liccor1,1263082,33525905,13404,Y,Y,N,,"Schwartze VU et al.,2014","25121733"
1129,"Tuber borchii Tbo3840 v1.0",Tubbor1,42251,97184993,12346,Y,Y,N,,"Murat C et al.,2018","29930051"
1130,"Oudemansiella mucida CBS 558.79 v1.0",Oudmuc1,139077,61732987,18562,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1131,"Xenasmatella vaga CBS212.54 v1.0",Xenvag1,301416,64171080,20933,Y,N,N,,,
1132,"Mycotypha africana NRRL 2978 v1.0",Mycafr1,64632,29202882,10917,Y,N,N,,,
1133,"Mucor heterogamus NRRL 1489 v1.0",Zyghet1,101122,54487678,14998,Y,N,N,,,
1134,"Sclerogaster hysterangioides SCL2.BST v1.0",Sclhys1_1,1529657,124262113,16656,Y,N,N,,,
1135,"Lactarius quietus S23C v1.0",Lacqui1,111141,115901997,18943,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1136,"Bolbitius vitellinus SZMC-NL-1974 v1.0",Bolvit1,34439,51241791,14483,Y,N,N,,,
1137,"Porodaedalea niemelaei PN71-100-IP13 v1.0",Pornie1_2,175858,53340173,14467,Y,N,N,,,
1138,"Hydnopolyporus fimbriatus CBS384.51 v1.0",Hydfim1,378272,34571335,12424,Y,N,N,,,
1139,"Anomoporia bombycina ATCC 64506 v1.0",Anobom1,264122,44480112,14617,Y,N,N,,,
1140,"Xylaria hypoxylon OSC100004 v1.0",Xylhyp1,37992,42850079,13084,Y,N,N,,,
1141,"Gautieria morchelliformis GMNE.BST v1.0",Gaumor1_1,112417,122807766,20331,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1142,"Rickenella fibula HBK330-10 v1.0",Ricfib1,264144,59345457,18897,Y,Y,N,,"Korotkin HB et al.,2018","30368779"
1143,"Sirobasidium intermedium CBS7805 v1.0",Sirint1,89935,21959807,9453,Y,N,N,,,
1144,"Cerinomyces ceraceus ATCC 56525 v1.0",Cercer1,1175230,33200339,13489,Y,N,N,,,
1145,"Mrakia frigida ATCC 22029 v1.0",Mrafri1,29902,28159101,9516,Y,N,N,,,
1146,"Sugiyamaella americana NRRL YB-2067 v1.0",Sugame1,796026,16480292,6288,Y,N,N,,,
1147,"Melampsora allii-populina 12AY07 v1.0",Melap1finSC_191,242475,335730080,23089,Y,N,N,,,
1148,"Spizellomyces punctatus DAOM BR117",Spipu1,645134,24131112,9424,Y,Y,N,,"Russ C et al.,2016","27540072"
1149,"Allomyces macrogynus ATCC 38327",Allma1,578462,57060573,19446,Y,N,N,,,
1150,"Puccinia triticina 1-1 BBBD Race 1",Puctr1,630390,135344771,15685,Y,Y,N,,"Cuomo CA et al.,2017","27913634"
1151,"Blastomyces dermatitidis SLH14081",Blade1,559298,75353942,11343,Y,Y,N,,"Muñoz JF et al.,2015","26439490"
1152,"Chionosphaera cuniculicola CBS10063  v1.0",Chicu1,180810,14160267,7187,Y,N,N,,,
1153,"Colletotrichum lupini CBS 109225 v1.0",Collu1,145971,58756634,15365,Y,N,N,,,
1154,"Melampsora larici-populina v2.0",Mellp2_3,203908,109877997,19550,Y,N,N,,,
1155,"Thelebolus stercoreus",Thest1,46453,26091195,8590,Y,N,N,,,
1156,"Caliciopsis orientalis",Calor1,380014,28171555,8494,Y,N,N,,,
1157,"Protomyces inouyei",Proin1,27332,12201973,7804,Y,N,N,,,
1158,"Spathularia flavida",Spafl1,33158,35536079,9941,Y,N,N,,,
1159,"Pseudographis elatina",Pseel1,1695903,36124988,11338,Y,N,N,,,
1160,"Calosphaeria pulchella",Calpu1,312312,37801971,10200,Y,N,N,,,
1161,"Ophiostoma piliferum",Ophpi1,38032,27257965,8564,Y,N,N,,,
1162,"Usnea florida ATCC18376 v1.0",Usnflo1,111620,44323432,12649,Y,N,N,,,
1163,"Clavispora lusitaniae ATCC 42720",Clalu1_2,306902,12114892,5936,Y,Y,N,,"Butler G et al.,2009","19465905"
1164,"Rhodocollybia butyracea AH 40177 v1.0",Rhobut1_1,206335,96282412,22870,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1165,"Melanotaenium endogenum CBS481.91 v1.0",Melen1,84746,19167872,6624,Y,N,N,,,
1166,"Colletotrichum godetiae CBS 193.32 v1.0",Colgo1,1209918,51652851,16071,Y,N,N,,,
1167,"Caloscypha fulgens ATCC 42695 v1.0",Calful1,47187,44839139,9203,Y,N,N,,,
1168,"Plectania melastoma CBS 918.72 v1.0",Plemel1,1280572,92513795,16180,Y,N,N,,,
1169,"Gyromitra esculenta CBS101906 v1.0",Gyresc1,33161,45046303,11202,Y,N,N,,,
1170,"Fellomyces penicillatus Phaff54-35 v1.0",Felpe1,5611,21049006,8340,Y,N,N,,,
1171,"Hortaea acidophila CBS 113389 v1.0",Horac1,245834,20432448,9831,Y,Y,N,,"Haridas S et al.,2020","32206138"
1172,"Lineolata rhizophorae ATCC 16933 v1.0",Linrh1,578093,31143728,10230,Y,Y,N,,"Haridas S et al.,2020","32206138"
1173,"Khuskia oryzae ATCC 28132 v1.0",Khuory1,668251,46052188,13375,Y,N,N,,,
1174,"Lobosporangium transversale NRRL 3116 v1.0",Lobtra1,64571,42768949,11822,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1175,"Blakeslea trispora NRRL 2456 v1.0",Blatri1,4850,37513922,11687,Y,N,N,,,
1176,"Bulgaria inquinans CBS118.31 v1.0",Bulin1,73172,26108822,9864,Y,N,N,,,
1177,"Loramyces macrosporus CBS235.53 v1.0",Lorma1,380016,50587134,14665,Y,N,N,,,
1178,"Pseudomassariella vexata CBS 129021 v1.0",Pseve2,1141098,44711451,12565,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1179,"Phaeosphaeriaceae sp. PMI_808 v1.0",PhaPMI808,5020,56370691,15864,Y,N,N,,,
1180,"Cantharellus anzutake C23 v1.0",Cananz1,36065,120173979,16968,Y,Y,N,,"Miyauchi S et al.,2020","33046698"
1181,"Pycnoporus puniceus CIRM-BRFM 1868 v1.0",Pycpun1,571087,30261980,10050,Y,Y,N,,"Miyauchi S et al.,2020","32531032"
1182,"Acidothrix acidophila CBS 136259 v1.0",Aciaci1,1442179,37766571,11057,Y,N,N,,,
1183,"Trichoderma asperelloides TR356 v1.0",Triasp1,702382,35388325,12320,Y,Y,N,,"Kubicek CP et al.,2019","31189469"
1184,"Trichoderma harzianum TR274 v1.0",Trihar1,5544,40870399,13932,Y,Y,N,,"Kubicek CP et al.,2019~Steindorff AS et al.,2014","31189469 24635846"
1185,"Artolenzites elegans CIRM-BRFM 1122 v1.0",Artele1122_1,526244,33812861,11945,Y,N,N,,,
1186,"Syncephalastrum racemosum NRRL 2496 v1.0",Synrac1,13706,30745403,11124,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1187,"Vararia minispora EC-137 v1.0",Varmin1,1314806,36812209,10962,Y,N,N,,,
1188,"Hymenopellis radicata IJFM A160 v1.0",Hymrad1,937743,78586887,27481,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1189,"Clohesyomyces aquaticus v1.0",Cloaq1,1231657,49677730,15810,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1190,"Cryptococcus terricola JCM 24523 v1.0",Cryte1,104414,23185503,8560,Y,Y,N,,"Close D et al.,2016","27811113"
1191,"Thamnidium elegans v1.0",Thaele1,101142,34252226,13104,Y,N,N,,,
1192,"Parasitella parasitica v1.0",Parpar1,35722,32767132,12306,Y,N,N,,,
1193,"Tilletiopsis albescens v1.0",Tilalb1,58915,24473709,8471,Y,N,N,,,
1194,"Absidia repens NRRL 1336 v1.0",Absrep1,90262,47422896,14919,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1195,"Trichosporon guehoae v1.0",Trigue1,105714,31643199,10572,Y,N,N,,,
1196,"Colletotrichum salicis CBS607.94",Colsa1,1209931,48373413,13783,Y,Y,N,,"Baroncelli R et al.,2016","27496087"
1197,"Colletotrichum simmondsii CBS122122",Colsi1,703756,50474234,13884,Y,Y,N,,"Baroncelli R et al.,2016","27496087"
1198,"Colletotrichum nymphaeae SA-01",Colny1,1460502,49956273,14404,Y,Y,N,,"Baroncelli R et al.,2016","27496087"
1199,"Sporopachydermia lactativora Phaff 68-199 v1.0",Spola1,45794,15566190,5498,Y,N,N,,,
1200,"Suillus spraguei EM44 v1.0",Suipic1,5383,87086403,19349,Y,N,N,,,
1201,"Leucosporidiella creatinivora UCDFST 62-1032 v1.0",Leucr1,5278,26329764,9854,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1202,"Sporidiobolus pararoseus UCDFST 68-350 v1.0",Spopa1,5003,21101591,8378,Y,N,N,,,
1203,"Filobasidium wieringae UCDFST 05-544 v1.0",Crywi1,104416,19655301,7467,Y,N,N,,,
1204,"Naematelia encephela UCDFST 68-887.2 v1.0",Treen1,71784,19786307,7964,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1205,"Protomyces lactucaedebilis 12-1054 v1.0",Prola1,56484,12928838,6726,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1206,"Ampelomyces quisqualis HMLAC05119 v1.0",Ampqui1,50730,36811257,11144,Y,Y,N,,"Haridas S et al.,2020","32206138"
1207,"Rhodosporidium toruloides IFO0880 v2.0",Rhoto_IFO0880_2,5286,20811117,7466,Y,Y,N,,"Zhang S et al.,2016","26479039"
1208,"Cryptococcus curvatus ATCC 20509 v1.0",Crycu1,57679,19908169,8661,Y,Y,N,,"Close D et al.,2016","27811111"
1209,"Colletotrichum fioriniae PJ7",Colfi1,1445577,49002765,13759,Y,Y,N,,"Baroncelli R et al.,2014","24723700"
1210,"Pholiota conissans CIRM-BRFM 674 v1.0",Phocon1,109636,43955553,16589,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1211,"Agrocybe pediades AH 40210 v1.0",Agrped1,84607,45056484,17281,Y,Y,N,,"Ruiz-Dueñas FJ et al.,2020","33211093"
1212,"Rhizoclosmatium globosum JEL800 v1.0",Rhihy1,329046,57018351,16990,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
1213,"Podospora curvicolla TEP21a v1.0",Podcur1,48157,36697324,13440,Y,N,N,,,
1214,"Dichomitus squalens CBS464.89 v1.0",Dicsqu464_1,114155,39597219,15295,Y,Y,N,,"Casado López S et al.,2019","31048399"
1215,"Dichomitus squalens OM18370.1 v1.0",Dicsqu18370_1,114155,39319619,14950,Y,Y,N,,"Casado López S et al.,2019","31048399"
1216,"Coniophora olivacea MUCL 20566 v1.0",Conol1,85977,39071688,14928,Y,Y,N,,"Castanera R et al.,2017","29145801"
1217,"Coccomyces strobi CBS 202.91 v1.0",Cocst1,380015,32666196,11537,Y,N,N,,,
1218,"Dichomitus squalens CBS463.89 v1.0",Dicsqu463_1,114155,36868345,14946,Y,Y,N,,"Casado López S et al.,2019","31048399"
1219,"Elsinoe ampelina CECT 20119 v1.0",Elsamp1,302913,28270677,10209,Y,Y,N,,"Haridas S et al.,2020","32206138"
1220,"Rickenella mellea v1.0 (SZMC22713)",Ricmel1,50990,45069463,17139,Y,Y,N,,"Krizsán K et al.,2019","30902897"
1221,"Mortierella elongata AG-77 v2.0",Morel2,310910,49863165,14969,Y,Y,N,,"Uehling J et al.,2017","28076891"
1222,"Didymella zeae-maydis 3018",Didma1,259522,32598614,11614,Y,N,N,,,
1223,"Crucibulum laeve CBS 166.37 v1.0",Crula1,68775,44728771,14218,Y,Y,N,,"Varga T et al.,2019","30886374"
1224,"Paxillus adelphus Ve08.2h10 v2.0",Paxru2,463315,64458135,18999,Y,Y,N,,"Kohler A et al.,2015","25706625"
1225,"Pterula gracilis CBS309.79 v1.0",Ptegra1,1884261,34769099,12873,Y,Y,N,,"Varga T et al.,2019","30886374"
1226,"Penicillium thymicola DAOMC 180753 v1.0",Penth1,293382,33877935,12467,Y,Y,N,,"Nguyen HDT et al.,2016","27521635"
